Matricule,Groupe_S2,MCSI,BDD,SEC,CPROJ,PROJ,LANG2,ARCH,SYS2,RES2,Ne_S2,Rang_S2,Moy_S2
19/0006,G07,"14,66","17,6","17,12","15,15","16,89","17,34","17,59","18,9","16,34",0,1,"16,81"
19/0075,G04,"12,56","17,55","17,42","15,55","15,71","16,93","17,66","16,9","17,62",0,2,"16,22"
19/0007,G04,"10,69","15,7","16,21","16,33","15,71","17,1","16,9","16,1","15,98",0,3,"15,28"
19/0016,G08,"12,53","15,66","15,34","15,08","16,55","16,92","16,05","14,2","16,7",0,4,"15,2"
19/0238,G09,"13,76","16,35","9,62","14,05","16,24","16,09","14,6","15,1","16,15",0,5,"15,02"
19/0202,G09,"13,31","16,35","15,46","15,05","16,24","15,84","14,26","11,5","14,62",0,6,"14,54"
19/0025,G07,"12,9","13,45","11,04","15,25","16,89","16,67","16,36","13,85","13,74",0,7,"14,49"
19/0097,G04,"12,5","14,25","14,58","14,08","14,4","16,84","15,4","14,8","15,11",0,8,"14,45"
19/0104,G06,"11,19","14,7",15,"15,28","15,77","16,35","14,6","14,65","15,4",0,8,"14,45"
19/0229,G05,"13,05","14,24","11,29","15,43","16,5","15,51","16,34","11,19","14,76",0,10,"14,3"
19/0018,G02,"12,5","14,68","13,08","14,23","15,27","15,94","14,76",14,"14,86",0,10,"14,3"
19/0072,G07,"13,7","13,05","8,88","14,95","16,89","17,08","15,23","12,75","13,96",0,12,"14,2"
19/0056,G06,"12,38","13,25","15,66","6,98","15,41","10,64","17,89","17,35","17,09",1,13,"14,15"
19/0263,G07,"11,38","16,15","14,84","13,35","14,44","15,31","16,2",13,"13,67",0,14,"14,14"
19/0112,G06,"10,38","13,2","11,92","15,63","15,41","17,51","15,68","14,7","14,51",0,15,"14,1"
19/0192,G03,"10,06","14,1","13,62","13,7","16,24","15,52","15,84",14,"14,38",0,16,"13,93"
19/0002,G05,"12,59","14,8","11,04","14,53","16,5","14,36","14,72","12,65","12,78",0,17,"13,92"
19/0156,G04,"11,88","12,45","12,88","14,63","16,71","16,92","15,76","11,3","14,56",0,18,"13,81"
19/0107,G04,"12,25","13,62","7,71","12,75","15,71","15,42","14,86","12,7","16,62",0,19,"13,78"
19/0125,G04,"11,81","13,66","15,5","13,48","14,4","15,18","14,62","13,7","13,89",0,20,"13,73"
19/0100,G05,"12,24","14,68","9,92","12,98","16,5","15,84","14,04",11,"15,29",0,21,"13,69"
19/0001,G02,"12,5","15,85","14,29","13,4","16,94","16,42","12,78","10,75","11,86",0,22,"13,65"
19/0204,G03,"13,69","12,45","8,96","14,48","16,24","15,02","12,98",13,"14,46",0,23,"13,64"
19/0138,G09,"11,94","15,05","5,79","14,95","15,37","15,85","14,13","12,65","12,53",0,24,"13,6"
19/0129,G05,"13,93","15,12","7,88","13,3","14,4","13,8","13,03","12,45","13,29",0,25,"13,52"
19/0029,G02,"12,5","14,82","5,34","13,4","16,94","14,85","15,3","10,6","12,88",0,26,"13,5"
19/0163,G05,"11,57","11,82","13,58","13,75","15,71","15,18","15,8","12,04","13,91",0,27,"13,41"
19/0017,G05,"12,97","14,55","9,79","14,43","16,5","10,57","14,11","11,55","12,74",0,27,"13,41"
19/0023,G01,"12,71","13,18","11,25","12,98","15,2","14,79","13,51","12,45","14,35",0,29,"13,39"
19/0131,G02,"10,38","14,08","12,04","13,18","15,27","14,61","14,84","13,3","13,39",0,29,"13,39"
19/0194,G09,"9,33","15,22","7,71","13,1","14,17","15,26","15,9","13,2","13,88",0,31,"13,36"
18/0306,G04,"12,1","13,95","12,42","14,5","13,76","16,02","13,68","11,35","13,65",0,32,"13,35"
19/0039,G07,"11,08","14,78","9,12","12,2","14,44","13,68","14,84","13,8","13,44",0,32,"13,35"
19/0037,G05,"10,7","13,42","12,66","13,85","15,71","15,6","13,85","12,45","13,99",0,34,"13,34"
19/0149,G02,"10,12","13,48","8,54","13,43","15,27","15,02","16,39","13,1","13,08",0,35,"13,33"
18/0086,G04,"12,31","14,42","10,75",14,"16,76","13,52","13,43","10,41","13,54",0,36,"13,32"
19/0042,G08,"10,83","13,9","6,66","13,55","15,41","14,68","15,8","12,5","13,1",0,37,"13,3"
19/0047,G04,"11,19","12,79","13,16","13,95","14,4","15,52","14,62","11,7","14,68",0,38,"13,28"
18/0257,G04,"9,25","13,4","6,04","14,25","14,4","16,42","14,84","13,85","14,74",0,39,"13,24"
19/0118,G09,"13,08","13,4","13,46","14,45","16,24","16,09","11,73","9,2","14,44",0,39,"13,24"
19/0218,G07,"10,48","13,5","12,21","14,23","14,44","12,83","15,19","12,6","13,64",0,41,"13,2"
19/0277,G02,"10,56","12,9","7,75","13,8","15,27","15,1","13,73","12,9","15,61",0,42,"13,19"
19/0035,G03,"11,19","14,45","8,25","14,98","15,37","14,62","13,41","12,2","11,95",0,43,"13,17"
19/0146,G09,"10,78","13,3","8,34","14,45","14,17","14,53","14,38","12,65","13,61",0,44,"13,09"
19/0243,G03,"7,62","14,62","11,54","14,45","16,24","14,6","14,53","11,5","14,41",0,45,"13,05"
19/0257,G09,"11,17","12,69","8,66","12,4","15,37","14,6","14,59","12,05","14,6",0,46,"13,03"
19/0214,G02,"10,06","14,08","6,58","11,98","15,27","14,68","14,9",14,"12,33",0,46,"13,03"
19/0034,G01,"10,62","14,3","10,92","12,48","15,47","14,1","15,1","11,65","12,1",0,46,"13,03"
19/0103,G06,"11,5","11,98","7,96","15,08","15,77","16,18","14,17","11,15","13,11",0,46,"13,03"
19/0085,G09,"11,93","12,69","7,34","13,43","14,17","16,68","15,38","12,5","10,85",0,50,"13,02"
19/0153,G07,"10,91","13,48","3,71","13,7","14,44","15,65","14,05","12,5","13,96",1,51,"12,98"
19/0003,G03,"11,38","14,45","9,62","14,78","11,1","15,36","12,78","11,98","14,02",0,52,"12,94"
19/0209,G04,"9,19",12,"9,54","13,83","14,4","14,01","14,91","14,65","13,3",0,53,"12,88"
19/0089,G03,11,"11,92","11,38","12,4","16,24","15,18","13,68","11,82","13,92",0,54,"12,87"
